date,title,url,media
2023-04-22,Autoroute A69: un projet qui génère des conflits,https://www.francetvinfo.fr/france/occitanie/tarn/autoroute-a69-un-projet-qui-genere-des-conflits_5786006.html,France 3
2023-04-22,Sécheresse : la solution des récupérateurs d'eau,https://www.francetvinfo.fr/meteo/secheresse/secheresse-la-solution-des-recuperateurs-d-eau_5786036.html,France 3
2023-04-20 16:58:00,"VIDÉO - Pour anticiper les problèmes d'eau, ces agriculteurs font le pari de diversifier leurs cultures",https://www.tf1info.fr/environnement-ecologie/video-environnement-secheresse-irrigation-pour-anticiper-les-problemes-d-eau-ces-agriculteurs-font-le-pari-de-changer-leurs-cultures-2254716.html,TF1
2023-04-20 14:24:00,VIDÉO - Sécheresse : ces Français qui font construire ou réhabilitent un puits,https://www.tf1info.fr/environnement-ecologie/video-reportage-tf1-secheresse-ces-francais-qui-font-construire-ou-rehabilitent-un-puits-2254657.html,TF1
2023-04-20,"Sécheresse : en Provence, les nappes phréatiques sont au plus bas",https://www.francetvinfo.fr/meteo/secheresse/secheresse-en-provence-les-nappes-phreatiques-sont-au-plus-bas_5782214.html,France 3
2023-04-19 11:37:00,Pyrénées-Orientales : les pompiers en quête d'eau dans un département déjà éprouvé par la sécheresse,https://www.tf1info.fr/environnement-ecologie/video-incendie-cerbere-banuyls-eau-piscine-mer-pyrenees-orientales-les-pompiers-en-quete-d-eau-dans-un-departement-deja-eprouve-par-la-secheresse-2254520.html,TF1
2023-04-19,Sécheresse : le Pas-de-Calais appelle à la sobriété et demande d’économiser l’eau potable,https://www.francetvinfo.fr/meteo/secheresse/secheresse-le-pas-de-calais-appelle-a-la-sobriete-et-demande-d-economiser-l-eau-potable_5780534.html,France 3
2023-04-19,"États-Unis : le ""superbloom"", un émerveillement pour les yeux et une bonne nouvelle pour la Californie",https://www.francetvinfo.fr/meteo/secheresse/etats-unis-le-superbloom-un-emerveillement-pour-les-yeux-et-une-bonne-nouvelle-pour-la-californie_5780483.html,France 2
2023-04-19,Sécheresse : la “police de l’eau” traque les fraudeurs dans le sud-ouest,https://www.francetvinfo.fr/meteo/secheresse/secheresse-la-police-de-l-eau-traque-les-fraudeurs-dans-le-sud-ouest_5780093.html,France 2
2023-04-19,"Sécheresse : auprès d’une patrouille de la police de l'eau, dans les Pyrénées-Orientales",https://www.francetvinfo.fr/meteo/secheresse/secheresse-aupres-d-une-patrouille-de-la-police-de-l-eau-dans-les-pyrenees-orientales_5780186.html,France 3
2023-04-18 16:26:00,Incendies dans les Pyrénées-Orientales : comment les pompiers ont fixé le feu à Cerbère,https://www.tf1info.fr/societe/video-incendies-pyrenees-orientales-comment-les-pompiers-ont-fixe-le-feu-a-cerbere-2254465.html,TF1
